post,date,artist,song_name,korean_name,director,video,type,release
,2019-10-18,BTS,Make It Right (feat Lauv),메이킷 롸잇,,Youtube,Boy,Minor
,2019-10-17,Super Junior,SUPER CLAP,슈퍼클랩,,Youtube,Boy,Major
,2019-10-17,1the9,Clap,속삭여,,Youtube,Boy,Major
,2019-10-17,Twice,Fake & True,,,Youtube,Girl,Japanese
,2019-10-16,MONSTA X,Someone's Someone,,,Youtube,Boy,English
,2019-10-15,Lim Kim,Yellow,,,Youtube,Girl Solo,Major
,2019-10-15,N.Flying,Good Bam,굿밤,,Youtube,Boy,Major
,2019-10-14,Lim Hyunsik,Dear Love,,,Youtube,Boy Solo,Major
,2019-10-10,Tiffany Young,Run For Your Life,,,Youtube,Girl Solo,English
,2019-10-10,Jung Daehyun,Aight,,,Youtube,Boy Solo,Major
,2019-10-10,Ladies' Code,SET ME FREE,,,Youtube,Girl,Major
,2019-10-09,Stray Kids,Double Knot,,,Youtube,Boy,Major
,2019-10-08,ATEEZ,Wonderland,,,Youtube,Boy,Major
,2019-10-07,GreatGuys,Be On You,비온유,,Youtube,Boy,Major
,2019-10-07,ONF,Why,,,Youtube,Boy,Major
,2019-10-07,AB6IX,Blind For Love,,,Youtube,Boy,Major
,2019-10-04,Super Junior,I Think I,,,Youtube,Boy,Minor
,2019-10-04,Limesoda,Wave,웨이브,,Youtube,Girl,Major
,2019-10-03,SuperM,Jopping,,,Youtube,Boy,Major
,2019-10-02,Zico,Extreme,,,Youtube,Boy Solo,Minor
,2019-10-02,Jeong Sewoon,When It Rains,비가 온대 그날처럼,,Youtube,Boy Solo,Major
,2019-10-01,ARGON,Give me dat,,,Youtube,Boy,Major
,2019-09-30,Chen (EXO),Shall We?,우리 어떻게 할까요,,Youtube,Boy Solo,Major
,2019-09-30,Zico,Human,사람,,Youtube,Boy Solo,Minor
,2019-09-30,Zico,"Daredavil feat. Jvcki Wai, Yumdda",천둥벌거숭이,,Youtube,Boy Solo,Major
,2019-09-30,Oneus,Lit,가자,ZANYBROS,Youtube,Boy,Major
,2019-09-29,PURPLEBECK,Dream Line,,,Youtube,Girl,Major
,2019-09-28,Minty,Arcadia,아르카디아,,Youtube,Girl Solo,Major
